,close,end_date,flag,time,code,open,high,low,volume,money,spot,date,ttm_days,base_sprd
1,5867.2,2018-09-21,2,2018-05-10,IC1809.CCFX,5849.8,5878.2,5800.0,324.0,378589440.0,6040.57,2018-05-10,134,-173.3699999999999
0,5776.0,2018-12-21,3,2018-05-10,IC1812.CCFX,5764.0,5797.0,5726.8,89.0,102476200.0,6040.57,2018-05-10,225,-264.5699999999997
3,5993.0,2018-05-18,0,2018-05-11,IC1805.CCFX,6039.6,6047.4,5980.6,8459.0,10161801600.0,5991.34,2018-05-11,7,1.6599999999998545
2,5947.4,2018-06-15,1,2018-05-11,IC1806.CCFX,6002.0,6002.0,5935.8,2000.0,2384351120.0,5991.34,2018-05-11,35,-43.94000000000051
1,5830.2,2018-09-21,2,2018-05-11,IC1809.CCFX,5870.4,5875.2,5816.4,234.0,273436000.0,5991.34,2018-05-11,133,-161.14000000000033
0,5733.8,2018-12-21,3,2018-05-11,IC1812.CCFX,5785.0,5795.0,5728.8,115.0,132341920.0,5991.34,2018-05-11,224,-257.53999999999996
3,5964.0,2018-05-18,0,2018-05-14,IC1805.CCFX,5999.0,6020.2,5939.8,8415.0,10073607280.0,5967.55,2018-05-14,4,-3.550000000000182
2,5919.6,2018-06-15,1,2018-05-14,IC1806.CCFX,5958.0,5972.0,5894.4,2873.0,3412568760.0,5967.55,2018-05-14,32,-47.94999999999982
1,5808.0,2018-09-21,2,2018-05-14,IC1809.CCFX,5832.6,5849.8,5787.2,399.0,464718160.0,5967.55,2018-05-14,130,-159.55000000000018
0,5727.8,2018-12-21,3,2018-05-14,IC1812.CCFX,5741.6,5756.6,5700.8,126.0,144397120.0,5967.55,2018-05-14,221,-239.75
3,6020.0,2018-05-18,0,2018-05-15,IC1805.CCFX,5976.6,6026.2,5948.8,9470.0,11339912880.0,6020.57,2018-05-15,3,-0.569999999999709
2,5973.8,2018-06-15,1,2018-05-15,IC1806.CCFX,5928.0,5979.2,5903.0,4212.0,5004557440.0,6020.57,2018-05-15,31,-46.76999999999953
1,5861.8,2018-09-21,2,2018-05-15,IC1809.CCFX,5810.0,5867.8,5798.6,409.0,476384720.0,6020.57,2018-05-15,129,-158.76999999999953
0,5771.2,2018-12-21,3,2018-05-15,IC1812.CCFX,5730.0,5777.8,5711.6,108.0,124048320.0,6020.57,2018-05-15,220,-249.3699999999999
